name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,junk_pirates_spinerette_carapace,Spinerette Hat,,,1,4000,800,7000,,500,0,2,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,
,junk_pirates_spinerette_flank_r,Spinerette Flank,,,1,4000,800,3500,,350,90,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_flank_l,Spinerette Flank,,,1,4000,800,3500,,350,90,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_cheek_r,Spinerette Cheek,,,1,4000,900,3500,,350,90,1,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
,junk_pirates_spinerette_cheek_l,Spinerette Cheek,,,1,4000,900,3500,,350,90,1,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,
Raven,junk_pirates_raven,Light Cruiser,Custom Prototype,junk_pirates_burst_jets,17,6000,750,8000,,520,115,1,70,45,35,25,15,1500,FRONT,,120,0.4,1.0,,,80,150,150,80,4,50,8,80000,5,20,360,0.1,17,17,,junk_pirates_junkprime_bp,,0.5,1,3,321612
Cerberus (ASP),syndicate_asp_cerberus,Combat Freighter,ASP Syndicate,burndrive,5,2500,400,1250,1875,150,50,,110,100,75,60,120,300,FRONT,,90,0.2,0.8,,,20,50,100,40,1,40,10,9900,8,10,240,0.25,4,4,,junk_pirates_asp_bp,,0.3,2,2,213
Hammerhead (ASP),syndicate_asp_hammerhead,Destroyer,ASP Syndicate,ammofeed,10,5000,500,4200,4167,250,105,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,33000,5,12,360,0.25,10,10,,junk_pirates_asp_bp,,0.5,2,3,300
Mercury (ASP),syndicate_asp_mercury,Shuttle,ASP Syndicate,flarelauncher_active,3,1000,150,1600,1875,150,20,,135,100,100,90,120,125,OMNI,,120,0.5,0.8,,,1,30,20,15,0.5,30,9,2750,5,20,180,0.25,2,2,"CIVILIAN, LINER",junk_pirates_asp_bp,,0.5,2,2,203
Vigilance (ASP),syndicate_asp_vigilance,Frigate,ASP Syndicate,fastmissileracks,5,1750,200,2500,2250,180,45,,110,120,100,45,90,100,OMNI,,150,0.4,0.8,,,10,25,40,25,1,25,10,13750,8,10,240,0.25,5,5,,junk_pirates_asp_bp,,0.5,2,2,208
Shield Prison Drone,junk_pirates_mason_dummy,,,,,1,0,10000,,10000,0,,0,0,0,0,0,0,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,

